hash.tag,count
dengue,3889
fever,1635
virus,842
news:,807
tests,682
cases,655
vaccines,463
sao,457
clinical,451
several,442
carried,442
dr,435
hilmi,435
general,397
paulo,341
fighting,332
outbreak,305
#dengue,303
brazilian,295
yellow,272
#ondox,253
brazil,247
fight,246
ebola,240
samples,236
update:,235
negative,235
for:,235
authorities,235
valley,234
rift,233
city,232
lassa,232
yahaya:…,222
@ebolaalert:,222
army,221
2015,208
calls,200
new,191
latest,187
news,177
test,174
yahay...,172
viru…rt,169
like,168
teams,164
mosquito,158
vigilant,158
http://t.co/d4nvs0rwqu,156
help,151
alert,148
paulo:,136
&amp;,135
reported,132
urged,129
journal,126
health,126
large,124
via,124
drop,124
street,123
wall,122
climate,120
change,116
using,112
brain-eating,110
#justice4saiful#changepenang,108
love,106
stay,106
...,104
biologists,103
"case,",103
"fever,",102
method,100
rise,98
despite,97
week,97
time,96
sdsu,96
developed,95
may,94
antivirals:,92
record,92
"dengue,",86
for…,86
community,85
today,85
parasites,84
vaccine,84
you’ll,83
found,82
still,82
months,80
first,79
increase,78
sweeping,75
one,74
blood,74
outbrea...,71
quarter,69
channel,67
season,66
guy,66
mosquitoes,66
breeding,66
peak,65
times,64
stop,62
#virus,60
#flu,60
report,60
#viruses,60
treat,59
best,58
malaysia,58
"drought,",58
video:,57
22,57
across,56
control,55
daily,54
epidemic,54
residents,53
news…,53
gma,53
researchers,53
expands,53
dengue.,52
updates,52
far,51
philippines,50
1st,50
season:,50
karachi,49
ministry,49
public,49
patient,49
also,48
peru,47
get,47
almost,47
know,47
#brazil,46
7,45
#denguert,45
inspectors,45
local,45
aedes,44
destroy,44
hospital,43
white,43
hot,42
three,42
guerrero,42
fever.,42
number,41
viral,41
diseases,41
got,41
bloomberg,40
risks,40
reports,39
year,39
ahead,39
@climateprogress:,39
…rt,39
antiviral,39
#disease,39
threat,38
#justice4saiful,38
#ebola,37
"1,055",37
cases:,37
misamis,37
u,37
records,36
reminds,36
emerging,36
salman,36
@medical_twt:,36
red,36
deaths,36
bbc,36
scientists,35
last,35
another,35
http://t.co/rbe5t6najj,35
broad-spectrum,35
punjab:,35
drugs,35
clubs,35
sabah,35
due,35
situation,34
316,34
discover,34
3,34
developing,34
taken,34
alerts,34
malaria,34
oriental,34
it's,34
worst,34
measures,34
threats,34
symptoms,33
half,33
read,33
state,33
http://t.co/1cc4qwg269,33
cells,33
16,33
"""probable""",33
striker,33
turmeric,33
please,33
"approaches,",33
"ebola,",33
showed,32
tv,32
defended,32
remember,32
@effssinclair:,32
@dlbiller,32
study:,32
up💚and,32
approaches,32
patrol&amp;voted,32
@sciencemagazine:,32
i'm,31
people,31
million,31
cause,31
chikungunya,30
breeding…,30
terms,30
early,30
across�,30
regions,30
biggest,30
risk,30
2014,29
could,29
eyesight,29
@christianaiss,29
worsens,29
heath,29
express,29
army's,29
@breakdengue:,29
"drought,�",29
infectious,29
affects,28
us,28
são,28
fewer,28
requests,28
ophthalmologist,28
type,28
fatal,28
patients,28
chik-v,28
q1,28
2,27
#health,27
kevin,27
anti-dengue,27
die,27
day,27
…#changepenang,27
parasites…,27
potentially,27
"winners,",27
percent,27
types,26
zamboanga,26
peru:,26
year…,26
post,26
facility,26
prepare,26
skin,26
tokyo,26
two,26
sun.star,26
1,26
gorman,25
unit,25
many,25
@denguenews:,25
spread,25
ruled,25
pa,25
visit,25
don't,25
sites,24
singapore,24
http://t.co/26oufqhxeb,24
zone.,24
"zone,",24
diagnosed,24
4,24
mon,24
observes,24
water,24
130,24
walk,24
penang,23
"19,",23
really,23
2016,23
face,23
keep,23
officials,23
doh,23
"20,",23
conducted,23
pravda,23
leaves,23
fever:,23
effectiveness,23
option,23
grace,23
address,22
6.49,22
#dengue.,22
reduce,22
see,22
express…,22
total,22
sanofi,22
astro,22
"22,",22
awareness,22
nearly,22
tribune,22
leap,22
epidemiology,22
take,21
department,21
"20,000",21
http://t.co/1qd7dbbiee,21
think,21
http://t.co/3yd…rt,21
"2015,",21
players,21
dept,21
check,21
kills,21
"18,",21
killed,21
want,20
support,20
#saopaulo,20
@mozziebites:,20
computer,20
"hiv,",20
important,20
"aegypti,",20
prevent,19
@mpgrenier731:,19
cell,19
"17,",19
even,19
"cells,",19
borneo,19
quater,19
southeast,19
pulse,18
machar,18
eradicate,18
dengue:,18
"460000,",18
role,18
recorded,18
223.6%,18
myanmar,18
—,18
pakistan,18
model,18
threat:,18
world,17
offside:,17
research,17
video,17
great,17
@youtube,17
@symvcd:,17
safe,17
herpes,17
battle,17
january,17
launch,17
brazil:,17
"16,",17
@channelnewsasia:,17
wake,17
break,17
ki,17
@bactiman63:,17
meeting,17
shock,17
top,17
precautions,17
april,17
soccer,17
metro,17
k,16
http://t.co/r0ljtmtws8,16
"21,",16
river,16
upon,16
india,16
way,16
"15,",16
severe,16
fu,16
soon,16
seeing,16
more:,16
based,16
carry,16
checks,16
182,16
homes,16
free,16
manila,16
cdc,16
tech,15
inko,15
back,15
goner,15
tarah,15
"athens,",15
drawing,15
#karachi,15
photographer/entomologist,15
care,15
log,15
step,15
@infectiousdz:,15
need,15
preparedness,15
piece,15
marengay,15
govt,15
jena,15
load-shedding,15
17-apr),15
johnson,15
awani,15
insect,15
issue.,15
playing,15
#sabah,15
ga.,15
disease,15
enlists,15
already,15
watch,15
plus,15
#mosquitoes,15
says,15
bcoz,15
failed,15
urges,15
"#mosquito,",15
second,14
repellent,14
data,14
espn,14
cure,14
dengue?,14
b.,14
hope,14
boats,14
com,14
suspected,14
held,14
newsfirst,14
liked,14
players…,14
habitats,14
said,14
#pmln,14
arranges,14
everyone,14
organization,14
"malaria,",14
helped,14
amazon,14
http://t.co/9l7aqllmvs,14
@ptisalarkhan:,14
@stcom:,14
infection,14
syndrome,14
getting,14
drakeley,13
suffering,13
#alert,13
drug,13
#pakistan,13
night,13
sweeps,13
240%,13
em,13
hepatitis,13
fc,13
lost,13
#news,13
remains,13
"1,503",13
catch,13
hemorrhagic,13
20000,13
#malaysia,13
travel,12
rt,12
release,12
#mosquito,12
vote,12
surveillance,12
beware,12
checking,12
kedah,12
country's,12
online,12
develop,12
start,12
government,12
rappler,12
hits,12
net,12
active,12
lotion,12
make,12
17,12
coming,12
@inquirerdotnet:,12
big,12
http://t.co/4oqskgq2d5,12
giving,12
guard,12
http://t.co/dcqno0enij,12
oxitec’s,12
army’s,12
warning,12
dengue...,12
at:,11
educate,11
"23,",11
#pathogenpossert,11
major,11
begins,11
available,11
vs.,11
deepest,11
thr,11
looking,11
farmers?,11
@alendaniel83:,11
poor,11
march,11
started,11
key,11
deadly,11
#denguedengue,11
better,11
destroy…,11
beware:,11
similar,11
doctor,11
per,11
oxitec's,11
o...,11
charpoys.,11
tie,11
environment,11
good,11
option:,11
problem,11
ambani-adani,11
@business,11
innovation,11
sindh,11
@microbesinfect:,11
@ravinepal,11
one.,11
fear,11
thousands,11
arnd,11
country,10
birth,10
predictions,10
@gabbbarsingh:,10
year.,10
@bernamadotcom:,10
around,10
minister,10
sees,10
http…rt,10
livemint,10
"penang,",10
high,10
volunteers,10
system,10
dominican,10
fever…,10
@bactiman63,10
affected,10
phase,10
http://t.co/bsqav4vgcirt,10
global,10
shows,10
card,10
caught,10
nile,10
death,10
@matheuspatric90,10
lot,10
takes,10
american,10
gov't,10
mobile,10
block,10
@justanacre,10
@501awani:,10
well,10
warns,10
the…,10
@oxitec,10
according,10
among,10
sudden,10
west,10
of…,10
returning,10
…#anakkl,10
dramatically,10
share,10
prevention,10
yahaya:,10
admitted,10
laredo,10
–,10
herald,10
"""this",10
expected,10
lesser,10
